cliente_id,nome_cliente
271,Vertex Business 271
272,Prime Business 272
273,Global Business 273
274,Apex Business 274
275,Orion Business 275
276,Nexus Business 276
277,Alfa Associati 277
278,Beta Associati 278
279,Gamma Associati 279
280,Delta Associati 280
281,Omega Associati 281
282,Nova Associati 282
283,Vertex Associati 283
284,Prime Associati 284
285,Global Associati 285
286,Apex Associati 286
287,Orion Associati 287
288,Nexus Associati 288
289,Alfa Consulting 289
290,Beta Consulting 290
291,Gamma Consulting 291
292,Delta Consulting 292
293,Omega Consulting 293
294,Nova Consulting 294
295,Vertex Consulting 295
296,Prime Consulting 296
297,Global Consulting 297
298,Apex Consulting 298
299,Orion Consulting 299
300,Nexus Consulting 300
301,Alfa Solutions 301
302,Beta Solutions 302
303,Gamma Solutions 303
304,Delta Solutions 304
305,Omega Solutions 305
306,Nova Solutions 306
307,Vertex Solutions 307
308,Prime Solutions 308
309,Global Solutions 309
310,Apex Solutions 310
311,Orion Solutions 311
312,Nexus Solutions 312
313,Alfa Partners 313
314,Beta Partners 314
315,Gamma Partners 315
316,Delta Partners 316
317,Omega Partners 317
318,Nova Partners 318
319,Vertex Partners 319
320,Prime Partners 320
321,Global Partners 321
322,Apex Partners 322
323,Orion Partners 323
324,Nexus Partners 324
325,Alfa Group 325
326,Beta Group 326
327,Gamma Group 327
328,Delta Group 328
329,Omega Group 329
330,Nova Group 330
331,Vertex Group 331
332,Prime Group 332
333,Global Group 333
334,Apex Group 334
335,Orion Group 335
336,Nexus Group 336
337,Alfa Advisory 337
338,Beta Advisory 338
339,Gamma Advisory 339
340,Delta Advisory 340
341,Omega Advisory 341
342,Nova Advisory 342
343,Vertex Advisory 343
344,Prime Advisory 344
345,Global Advisory 345
346,Apex Advisory 346
347,Orion Advisory 347
348,Nexus Advisory 348
349,Alfa Systems 349
350,Beta Systems 350
351,Gamma Systems 351
352,Delta Systems 352
353,Omega Systems 353
354,Nova Systems 354
355,Vertex Systems 355
356,Prime Systems 356
357,Global Systems 357
358,Apex Systems 358
359,Orion Systems 359
360,Nexus Systems 360
361,Alfa Holding 361
362,Beta Holding 362
363,Gamma Holding 363
364,Delta Holding 364
365,Omega Holding 365
366,Nova Holding 366
367,Vertex Holding 367
368,Prime Holding 368
369,Global Holding 369
370,Apex Holding 370
371,Orion Holding 371
372,Nexus Holding 372
373,Alfa Capital 373
374,Beta Capital 374
375,Gamma Capital 375
376,Delta Capital 376
377,Omega Capital 377
378,Nova Capital 378
379,Vertex Capital 379
380,Prime Capital 380
381,Global Capital 381
382,Apex Capital 382
383,Orion Capital 383
384,Nexus Capital 384
385,Alfa Services 385
386,Beta Services 386
387,Gamma Services 387
388,Delta Services 388
389,Omega Services 389
390,Nova Services 390
391,Vertex Services 391
392,Prime Services 392
393,Global Services 393
394,Apex Services 394
395,Orion Services 395
396,Nexus Services 396
397,Alfa Tech 397
398,Beta Tech 398
399,Gamma Tech 399
400,Delta Tech 400
401,Omega Tech 401
402,Nova Tech 402
403,Vertex Tech 403
404,Prime Tech 404
405,Global Tech 405
406,Apex Tech 406
407,Orion Tech 407
408,Nexus Tech 408
409,Alfa Business 409
410,Beta Business 410
411,Gamma Business 411
412,Delta Business 412
413,Omega Business 413
414,Nova Business 414
415,Vertex Business 415
416,Prime Business 416
417,Global Business 417
418,Apex Business 418
419,Orion Business 419
420,Nexus Business 420
421,Alfa Associati 421
422,Beta Associati 422
423,Gamma Associati 423
424,Delta Associati 424
425,Omega Associati 425
426,Nova Associati 426
427,Vertex Associati 427
428,Prime Associati 428
429,Global Associati 429
430,Apex Associati 430
431,Orion Associati 431
432,Nexus Associati 432
433,Alfa Consulting 433
434,Beta Consulting 434
435,Gamma Consulting 435
436,Delta Consulting 436
437,Omega Consulting 437
438,Nova Consulting 438
439,Vertex Consulting 439
440,Prime Consulting 440
441,Global Consulting 441
442,Apex Consulting 442
443,Orion Consulting 443
444,Nexus Consulting 444
445,Alfa Solutions 445
446,Beta Solutions 446
447,Gamma Solutions 447
448,Delta Solutions 448
449,Omega Solutions 449
450,Nova Solutions 450
451,Vertex Solutions 451
452,Prime Solutions 452
453,Global Solutions 453
454,Apex Solutions 454
455,Orion Solutions 455
456,Nexus Solutions 456
457,Alfa Partners 457
458,Beta Partners 458
459,Gamma Partners 459
460,Delta Partners 460
461,Omega Partners 461
462,Nova Partners 462
463,Vertex Partners 463
464,Prime Partners 464
465,Global Partners 465
466,Apex Partners 466
467,Orion Partners 467
468,Nexus Partners 468
469,Alfa Group 469
470,Beta Group 470
471,Gamma Group 471
472,Delta Group 472
473,Omega Group 473
474,Nova Group 474
475,Vertex Group 475
476,Prime Group 476
477,Global Group 477
478,Apex Group 478
479,Orion Group 479
480,Nexus Group 480
481,Alfa Advisory 481
482,Beta Advisory 482
483,Gamma Advisory 483
484,Delta Advisory 484
485,Omega Advisory 485
486,Nova Advisory 486
487,Vertex Advisory 487
488,Prime Advisory 488
489,Global Advisory 489
490,Apex Advisory 490
491,Orion Advisory 491
492,Nexus Advisory 492
493,Alfa Systems 493
494,Beta Systems 494
495,Gamma Systems 495
496,Delta Systems 496
497,Omega Systems 497
498,Nova Systems 498
499,Vertex Systems 499
500,Prime Systems 500
501,Global Systems 501
502,Apex Systems 502
503,Orion Systems 503
504,Nexus Systems 504
505,Alfa Holding 505
506,Beta Holding 506
507,Gamma Holding 507
508,Delta Holding 508
509,Omega Holding 509
510,Nova Holding 510
511,Vertex Holding 511
512,Prime Holding 512
513,Global Holding 513
514,Apex Holding 514
515,Orion Holding 515
516,Nexus Holding 516
517,Alfa Capital 517
518,Beta Capital 518
519,Gamma Capital 519
520,Delta Capital 520
521,Omega Capital 521
522,Nova Capital 522
523,Vertex Capital 523
524,Prime Capital 524
525,Global Capital 525
526,Apex Capital 526
527,Orion Capital 527
528,Nexus Capital 528
529,Alfa Services 529
530,Beta Services 530
531,Gamma Services 531
532,Delta Services 532
533,Omega Services 533
534,Nova Services 534
535,Vertex Services 535
536,Prime Services 536
537,Global Services 537
538,Apex Services 538
539,Orion Services 539
540,Nexus Services 540
541,Alfa Tech 541
542,Beta Tech 542
543,Gamma Tech 543
544,Delta Tech 544
545,Omega Tech 545
546,Nova Tech 546
547,Vertex Tech 547
548,Prime Tech 548
549,Global Tech 549
550,Apex Tech 550
551,Orion Tech 551
552,Nexus Tech 552
553,Alfa Business 553
554,Beta Business 554
555,Gamma Business 555
556,Delta Business 556
557,Omega Business 557
558,Nova Business 558
559,Vertex Business 559
560,Prime Business 560
561,Global Business 561
562,Apex Business 562
563,Orion Business 563
564,Nexus Business 564
565,Alfa Associati 565
566,Beta Associati 566
567,Gamma Associati 567
568,Delta Associati 568
569,Omega Associati 569
570,Nova Associati 570
571,Vertex Associati 571
572,Prime Associati 572
573,Global Associati 573
574,Apex Associati 574
575,Orion Associati 575
576,Nexus Associati 576
577,Alfa Consulting 577
578,Beta Consulting 578
579,Gamma Consulting 579
580,Delta Consulting 580
581,Omega Consulting 581
582,Nova Consulting 582
583,Vertex Consulting 583
584,Prime Consulting 584
585,Global Consulting 585
586,Apex Consulting 586
587,Orion Consulting 587
588,Nexus Consulting 588
589,Alfa Solutions 589
590,Beta Solutions 590
591,Gamma Solutions 591
592,Delta Solutions 592
593,Omega Solutions 593
594,Nova Solutions 594
595,Vertex Solutions 595
596,Prime Solutions 596
597,Global Solutions 597
598,Apex Solutions 598
599,Orion Solutions 599
600,Nexus Solutions 600
